ATP42.txt	42
167	291	
59		
11	23	7
16	111	4
44	54	4
29	110	9
24	95	9
58	67	3
50	52	8
46	61	5
61	77	6
39	36	5
63	81	6
14	113	7
18	24	6
61	46	6
24	64	4
44	63	5
47	60	5
32	47	8
60	50	5
36	94	7
16	86	5
45	24	7
63	24	4
9	71	3
65	98	4
9	109	6
8	21	1
19	65	5
60	97	6
35	88	6
56	39	8
25	64	8
40	104	8
10	22	7
58	47	1
37	80	3
16	68	1
34	58	9
8	104	7
36	66	4
13	85	1
53	35	7
13	65	8
16	28	7
44	102	6
14	104	3
43	103	4
15	39	4
31	36	9
10	32	7
26	109	7
35	46	5
15	88	8
35	27	5
54	114	3
24	88	5
22	46	6
15	39	7
20	98	1
